customer_id,gender,Age,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car
1,Female,66.0,93,Executive Secretary,Health,Mass Customer,Yes
2,Male,39.0,81,Administrative Officer,Financial Services,Mass Customer,Yes
3,Male,66.0,61,Recruiting Manager,Property,Mass Customer,Yes
9,Female,47.0,97,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes
10,Female,31.0,49,Senior Quality Engineer,Financial Services,Mass Customer,Yes
12,Male,25.0,58,Nuclear Power Engineer,Manufacturing,Mass Customer,No
13,Male,65.0,38,Developer I,Financial Services,High Net Worth,Yes
14,Female,37.0,85,Account Executive,Financial Services,Affluent Customer,No
15,Male,19.0,91,Junior Executive,Manufacturing,Mass Customer,No
19,Female,19.0,76,Geological Engineer,Manufacturing,High Net Worth,No
20,Male,39.0,72,Project Manager,Manufacturing,Mass Customer,No
21,Male,39.0,74,Safety Technician I,Manufacturing,Affluent Customer,Yes
24,Female,42.0,55,Research Assistant I,Argiculture,Mass Customer,Yes
25,Male,43.0,72,Accounting Assistant III,Financial Services,Mass Customer,Yes
26,Female,41.0,12,Editor,Financial Services,Mass Customer,Yes
27,Male,41.0,37,Research Nurse,Health,Mass Customer,Yes
28,Male,46.0,5,Senior Quality Engineer,Health,Affluent Customer,Yes
29,Female,51.0,62,Safety Technician III,Manufacturing,Mass Customer,No
31,Female,57.0,3,Staff Accountant III,Telecommunications,High Net Worth,Yes
32,Female,25.0,17,Legal Assistant,Manufacturing,Affluent Customer,No
35,Female,56.0,40,Information Systems Manager,Health,High Net Worth,Yes
37,Female,34.0,46,Social Worker,Health,High Net Worth,No
38,Female,64.0,37,Senior Cost Accountant,Financial Services,Affluent Customer,No
39,Male,41.0,5,Assistant Media Planner,Entertainment,Mass Customer,No
40,Female,38.0,91,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No
41,Male,44.0,64,Food Chemist,Health,Mass Customer,No
42,Female,43.0,24,Accountant III,Manufacturing,Mass Customer,No
43,Female,37.0,38,Director of Sales,Retail,Mass Customer,No
44,Male,38.0,63,Assistant Media Planner,Entertainment,Affluent Customer,Yes
45,Male,44.0,64,Senior Financial Analyst,Financial Services,Mass Customer,No
47,Male,27.0,51,Registered Nurse,Health,Affluent Customer,No
50,Male,39.0,38,Account Executive,Manufacturing,Mass Customer,Yes
51,Male,60.0,68,Computer Systems Analyst II,Retail,Mass Customer,No
53,Female,66.0,22,Software Test Engineer II,Financial Services,Mass Customer,No
54,Female,53.0,2,Sales Associate,Property,Mass Customer,Yes
55,Male,63.0,48,Paralegal,Financial Services,Affluent Customer,Yes
56,Male,23.0,44,VP Sales,Property,Mass Customer,Yes
58,Female,52.0,26,Office Assistant III,Financial Services,Affluent Customer,Yes
61,Female,60.0,47,Help Desk Operator,Property,High Net Worth,No
63,Female,54.0,58,Senior Quality Engineer,Retail,Mass Customer,Yes
64,Male,42.0,73,Legal Assistant,IT,High Net Worth,No
65,Male,44.0,21,Information Systems Manager,Financial Services,Affluent Customer,Yes
66,Male,18.0,46,Account Executive,Argiculture,High Net Worth,No
70,Male,27.0,78,Paralegal,Financial Services,Affluent Customer,No
71,Male,35.0,30,Research Associate,Argiculture,Affluent Customer,Yes
72,Male,48.0,93,Administrative Officer,Manufacturing,Affluent Customer,Yes
75,Female,41.0,28,VP Product Management,Property,Mass Customer,No
